comic_id,title,release_date,cover_price,publisher_id,writer_id,edition_id,media_id
1,Action Comics #1000,2018-04-18,7.99,1,1,1,1
2,Age of Ultron #1,2013-03-06,3.99,2,2,1,1
3,Age of Ultron #2,2013-03-13,3.99,2,2,1,1
4,All-New Wolverine by Tom Taylor Omnibus HC,2021-05-05,125,2,3,2,1
5,"All-New, All-Different Avengers Annual #1 Ross Variant",2016-08-10,4.99,2,4,1,1
6,All-Star Batman #1 Jock Variant,2016-08-10,4.99,1,5,1,1
7,All-Star Batman #2 Shalvey Variant Edition,2016-09-14,4.99,1,5,1,1
8,All-Star Batman #3 Shalvey Variant Edition,2016-10-12,4.99,1,5,1,1
9,All-Star Batman #4,2016-11-09,4.99,1,5,1,1
10,All-Star Batman #5 Jock Variant,2016-12-28,4.99,1,5,1,1
11,Amazing Fantasy #15 Facsimile Edition (2019),2019-10-09,3.99,2,6,1,1
12,The Amazing Spider-Man #16 Collector Corps Variant,2016-08-10,0,2,7,1,1
13,The Amazing Spider-Man #800,2018-05-30,9.99,2,7,1,1
14,The Amazing Spider-Man by J. Michael Straczynski Omnibus Vol. 2 HC Garney DM Variant,2020-09-02,158,2,8,2,1
15,The Amazing Spider-Man: Origin of the Species TP,2011-07-27,22.5,2,4,3,1
16,The Amazing Spider-Man Vol. 3: Spider-verse TP,2015-07-08,27.99,2,7,3,1
17,The Amazing Spider-Man Red Goblin TP,2019-10-30,0,2,7,3,2
18,Ant-Man #5 Marvel Collectors Corp Exclusive Variant,2015-06-23,0,2,9,1,1
19,Astonishing X-Men by Whedon & Cassaday Omnibus HC 2020 Printing,2020-06-03,127,2,10,2,1
20,Avengers #1,2016-11-02,4.99,2,4,1,1
21,Avengers #2,2016-12-07,3.99,2,4,1,1
22,Avengers #2.1,2016-12-21,3.99,2,4,1,1
23,Avengers #3,2017-01-04,3.99,2,4,1,1
24,Avengers #3.1,2017-01-18,3.99,2,4,1,1
25,Avengers #4,2017-02-01,3.99,2,4,1,1
26,Avengers #5,2017-03-01,3.99,2,4,1,1
27,Avengers #5.1,2017-03-29,3.99,2,4,1,1
28,Avengers #6,2017-04-05,3.99,2,4,1,1
29,Avengers Vol. 1: Avengers World TP,2014-02-12,19.99,2,11,3,1
30,Avengers Vs. X-Men TP,2013-03-27,0,2,2,3,2
31,The Avengers Complete Collection By Geoff Johns Vol. 1 TP,2013-05-29,32.99,2,1,3,1
32,Batman #1,2016-06-15,2.99,1,12,1,1
33,Batman #2,2016-07-06,2.99,1,12,1,1
34,Batman #3,2016-07-20,2.99,1,12,1,1
35,Batman #4 Variant Edition,2016-08-03,2.99,1,12,1,1
36,Batman #5,2016-08-17,2.99,1,12,1,1
37,Batman #6,2016-09-07,2.99,1,12,1,1
38,Batman #7,2016-09-21,2.99,1,12,1,1
39,Batman #8,2016-10-05,2.99,1,12,1,1
40,Batman #9,2016-10-19,2.99,1,12,1,1
41,Batman #10,2016-11-02,2.99,1,12,1,1
42,Batman #11,2016-11-16,2.99,1,12,1,1
43,Batman #12,2016-12-07,2.99,1,12,1,1
44,Batman #13,2016-12-21,2.99,1,12,1,1
45,Batman #14,2017-01-04,2.99,1,12,1,1
46,Batman #21 C2E2 Foil Exclusive,2017-04-19,3.99,1,12,1,1
47,Batman #22,2017-05-03,3.99,1,12,1,1
48,Absolute Batman: Hush HC,2011-11-30,96.69,1,13,4,1
49,Batman: Year One TP,2007-02-07,15.6,1,14,3,1
50,Batman by Grant Morrison Omnibus Vol. 1 HC,2018-07-04,0,1,15,2,1
51,Batman: Ego and Other Tails TP,2008-11-12,15.6,1,16,3,1
52,Batman: Last Knight on Earth #1,2019-05-29,5.99,1,5,1,1
53,Batman: Last Knight on Earth #2 Variant Edition,2019-07-31,5.99,1,5,1,1
54,Batman: Last Knight on Earth #3,2019-12-18,5.99,1,5,1,1
55,Batman: Rebirth #1 2nd Printing,2016-06-29,2.99,1,5,1,1
56,Batman: The Dark Knight Returns 30th Anniversary Edition TP,2016-02-10,19.99,1,14,3,1
57,Batman: The Long Halloween TP Second Edition,2011-10-05,15.6,1,13,3,1
58,Batman: Three Jokers HC,2020-11-17,35.69,1,1,5,1
59,Black Panther #1,2016-04-06,4.99,2,17,1,2
60,Black Panther #3,2016-06-29,3.99,2,17,1,2
61,Black Panther #2 3rd Printing Rahzzah Run Jewels Variant,2016-07-27,3.99,2,17,1,1
62,Black Panther #4,2016-07-27,3.99,2,17,1,2
63,Black Panther #5 Ribic Connecting A Variant,2016-08-10,3.99,2,17,1,1
64,Black Panther #6,2016-09-14,3.99,2,17,1,2
65,Black Panther #7,2016-10-19,3.99,2,17,1,2
66,Black Panther #8,2016-11-16,3.99,2,17,1,2
67,Black Widow Vol. 1: SHIELD's Most Wanted TP,2016-10-26,0,2,4,3,2
68,Cable #1,1993-05-01,0,2,18,1,1
69,Cable #1,2017-05-31,3.99,2,19,1,2
70,Captain America: Winter Soldier Ultimate Collection TP,2010-03-31,0,2,20,3,2
71,Captain America: Sam Wilson Vol. 1: Not My Captain America TP,2016-04-20,0,2,9,3,2
72,Captain America: Steve Rogers #1,2016-05-25,0,2,9,1,2
73,Captain America: Steve Rogers #2,2016-06-29,3.99,2,9,1,2
74,Captain America: Steve Rogers #1 2nd Printing,2016-07-06,4.99,2,9,1,1
75,Captain America: Steve Rogers #3,2016-07-27,3.99,2,9,1,1
76,Captain America: Steve Rogers #4,2016-08-24,4.99,2,9,1,1
77,Captain America: Steve Rogers #5,2016-09-28,3.99,2,9,1,1
78,Captain America: Steve Rogers #6,2016-10-26,3.99,2,9,1,1
79,Captain America: Steve Rogers #7,2016-11-09,3.99,2,9,1,1
80,"Captain Marvel Vol. 1: Higher, Further, Faster, More TP",2014-10-08,0,2,21,3,1
81,Champions #1,2016-10-05,4.99,2,4,1,1
82,Champions #1 Marvel Collector Corps Exclusive Variant,2016-10-05,3.99,2,4,1,1
83,Champions #2,2016-11-02,3.99,2,4,1,1
84,Champions #3,2016-12-07,3.99,2,4,1,1
85,Champions #4,2017-01-04,3.99,2,4,1,1
86,Champions #5,2017-02-01,3.99,2,4,1,1
87,Champions #6,2017-03-01,3.99,2,4,1,1
88,Civil War TP,2007-04-11,0,2,22,3,2
89,Civil War II #1,2016-06-01,5.99,2,2,1,2
90,Civil War II #2,2016-06-15,4.99,2,2,1,2
91,Civil War II #3,2016-07-13,4.99,2,2,1,2
92,Civil War II #4,2016-07-27,4.99,2,2,1,2
93,Civil War II #5,2016-09-21,4.99,2,2,1,2
94,Civil War II #6,2016-10-26,4.99,2,2,1,2
95,Civil War II #7,2016-11-23,4.99,2,2,1,2
96,Civil War II #8,2016-12-28,4.99,2,2,1,2
97,Civil War II: Amazing Spider-Man #1,2016-06-08,3.99,2,23,1,2
98,Civil War II: Amazing Spider-Man #2,2016-07-13,3.99,2,23,1,2
99,Civil War II: Amazing Spider-Man #3,2016-08-17,3.99,2,23,1,1
100,Civil War II: Amazing Spider-Man #4,2016-09-14,3.99,2,23,1,1
101,Civil War II: Choosing Sides #1,2016-06-22,4.99,2,24,1,1
102,Civil War II: Choosing Sides #2,2016-07-13,3.99,2,25,1,1
103,Civil War II: Choosing Sides #3,2016-07-27,3.99,2,26,1,1
104,Civil War II: Choosing Sides #4,2016-08-17,3.99,2,27,1,1
105,Civil War II: Choosing Sides #5 Alpha Flight Team-Up Variant,2016-08-31,3.99,2,28,1,1
106,Civil War II: Choosing Sides #6,2016-09-21,3.99,2,29,1,1
107,Civil War II: Gods of War #1,2016-06-08,3.99,2,30,1,2
108,Civil War II: Gods of War #2,2016-07-13,3.99,2,30,1,2
109,Civil War II: Gods of War #3,2016-08-17,3.99,2,30,1,1
110,Civil War II: Gods of War #4,2016-09-14,3.99,2,30,1,1
111,Civil War II: The Fallen #1,2016-08-17,4.99,2,31,1,1
112,Civil War II: The Oath #1,2017-01-25,4.99,2,9,1,1
113,Civil War II: Ulysses #1,2016-08-24,4.99,2,32,1,1
114,Civil War II: Ulysses #2,2016-09-14,4.99,2,32,1,1
115,Civil War II: Ulysses #3,2016-10-12,4.99,2,32,1,1
116,Civil War II: X-Men #1,2016-06-15,3.99,2,33,1,2
117,Civil War II: X-Men #2,2016-07-06,3.99,2,33,1,1
118,Civil War II: X-Men #3,2016-08-17,3.99,2,33,1,1
119,Civil War II: X-Men #4,2016-09-21,3.99,2,33,1,1
120,Daredevil and The Punisher: Child's Play TP,1988-01-01,0,2,14,3,1
121,Daredevil: Born Again TP 2nd Edition 3rd Printing,2012-01-01,0,2,14,3,1
122,Dark Knight Returns: The Last Crusade #1,2016-06-15,6.99,1,34,1,1
123,Dawn of X Vol. 1 TP,2020-02-12,32.99,2,35,3,1
124,Dawn of X Vol. 2 TP,2020-02-26,23.99,2,36,3,1
125,Dawn of X Vol. 3 TP,2020-03-11,23.99,2,35,3,1
126,Dawn of X Vol. 4 TP,2020-03-25,23.99,2,35,3,1
127,Dawn of X Vol. 5 TP,2020-06-17,23.99,2,36,3,1
128,Dawn of X Vol. 6 TP,2020-07-01,23.99,2,35,3,1
129,Dawn of X Vol. 7 TP,2020-08-26,22.99,2,36,3,1
130,Dawn of X Vol. 8 TP,2020-10-07,22.99,2,36,3,1
131,Dawn of X Vol. 9 TP,2020-10-28,22.99,2,35,3,1
132,Dawn of X Vol. 10 TP,2020-11-11,22.99,2,37,3,1
133,Dawn of X Vol. 11 TP,2021-01-20,22.99,2,37,3,1
134,Dawn of X Vol. 12 TP,2021-02-03,22.99,2,37,3,1
135,Dawn of X Vol. 13 TP,2021-02-17,22.99,2,36,3,1
136,Dawn of X Vol. 14 TP,2021-03-17,22.99,2,37,3,1
137,Dawn of X Vol. 15 TP,2021-04-21,22.99,2,35,3,1
138,Dawn of X Vol. 16 TP,2021-05-26,22.99,2,38,3,1
139,DC Universe: Rebirth #1,2016-05-25,2.99,1,1,1,1
140,Dead No More: The Clone Conspiracy #1,2016-10-12,4.99,2,7,1,1
141,Dead No More: The Clone Conspiracy #2,2016-11-09,3.99,2,7,1,1
142,Dead No More: The Clone Conspiracy #3,2016-12-07,3.99,2,7,1,1
143,Dead No More: The Clone Conspiracy #4,2017-01-18,3.99,2,7,1,1
144,Dead No More: The Clone Conspiracy #5,2017-02-15,3.99,2,7,1,1
145,Deadpool by Daniel Way: The Complete Collection Vol. 1 TP,2013-07-17,0,2,39,3,1
146,Deadpool & Cable: Split Second TP,2016-04-20,16.99,2,18,3,2
147,Deadpool Kills the Marvel Universe TP,2012-10-31,0,2,33,3,2
148,Deadpool vs. X-Force TP,2014-11-05,15.99,2,40,3,1
149,Death of Wolverine HC,2015-01-07,27.99,2,41,5,1
150,Death of X TP,2017-03-01,23.99,2,42,3,1
151,Death: The High Cost of Living TP,1994-06-01,0,3,43,3,1
152,Detective Comics #1000 Midnight Release Variant,2019-03-27,9.99,1,44,1,1
153,Detective Comics #1027 Jim Lee Batman & Superman Variant Edition,2020-09-15,9.99,1,15,1,1
154,Doctor Strange and the Sorcerers Supreme #1 Marvel Collector Corps Variant,2016-10-26,0,2,45,1,1
155,Doomsday Clock Part 1 HC,2019-10-02,16.5,1,1,5,1
156,Doomsday Clock Part 2 HC,2020-06-16,16.5,1,1,5,1
157,Empyre TP,2020-10-28,49.99,2,32,3,1
158,Empyre: X-Men TP,2020-11-04,22.99,2,11,3,1
159,Fantastic Four Vol. 1: Fourever TP,2019-03-06,15.99,2,7,3,2
160,FF Vol. 1 TP,2012-02-29,15.99,2,11,3,1
161,The Flash #2,2016-07-13,2.99,1,46,1,1
162,The Flash #1 2nd Printing,2016-07-20,2.99,1,46,1,1
163,The Flash #3,2016-07-27,2.99,1,46,1,1
164,The Flash #4 Variant Edition,2016-08-10,2.99,1,46,1,1
165,The Flash #5 Variant Edition,2016-08-24,2.99,1,46,1,1
166,The Flash #6,2016-09-14,2.99,1,46,1,1
167,The Flash #7,2016-09-28,2.99,1,46,1,1
168,The Flash #8 Variant Edition,2016-10-12,2.99,1,46,1,1
169,The Flash #9 Variant Edition,2016-10-26,2.99,1,46,1,1
170,The Flash #21,2017-04-26,3.99,1,46,1,1
171,The Flash #22,2017-05-17,3.99,1,46,1,1
172,The Flash: Rebirth #1 2nd Printing,2016-07-06,2.99,1,46,1,1
173,Generation X #1,2017-05-17,0,2,29,1,2
174,Green Lantern: The Sinestro Corps War Vol. 1 HC,2008-02-20,0,1,1,5,1
175,House of M #1,2005-06-01,0,2,2,1,1
176,House of M #2,2005-06-22,0,2,2,1,1
177,House of M #3,2005-07-06,0,2,2,1,1
178,House of M #4,2005-07-20,0,2,2,1,1
179,House of M #5,2005-08-10,0,2,2,1,1
180,House of M #6,2005-09-07,0,2,2,1,1
181,House of M #7,2005-10-12,0,2,2,1,1
182,House of M #8,2005-11-02,0,2,2,1,1
183,House of X #1,2019-07-24,0,2,11,1,2
184,House of X #2,2019-08-07,0,2,11,1,2
185,House of X #2 1:10 Mike Huddleston Variant,2019-08-07,4.99,2,11,1,1
186,House of X #3,2019-08-28,0,2,11,1,2
187,House of X #3 Skottie Young Variant,2019-08-28,4.99,2,11,1,1
188,House of X #1 3rd Printing,2019-09-04,5.99,2,11,1,1
189,House of X #4,2019-09-04,0,2,11,1,2
190,House of X #4 Sara Pichelli and Dean White Flower Variant,2019-09-04,4.99,2,11,1,1
191,House of X #5,2019-09-18,0,2,11,1,2
192,House of X #5 Pichelli Flower Variant,2019-09-18,4.99,2,11,1,1
193,House of X #6,2019-10-02,0,2,11,1,2
194,House of X #6 Sara Pichelli Flower Variant,2019-10-02,4.99,2,11,1,1
195,House of X / Powers of X HC,2019-12-11,76,2,11,5,1
196,Iceman #1,2017-06-07,0,2,47,1,2
197,Infamous Iron Man #1,2016-10-19,3.99,2,2,1,1
198,Infinity TP,2014-09-03,0,2,11,3,2
199,Inhumans vs. X-Men #1 Collector Corps Variant,2017-02-15,0,2,42,1,1
200,Invincible Compendium Vol. 1 TP,2011-08-17,57.24,4,48,6,1
201,Invincible Compendium Vol. 2 TP,2013-08-14,64.99,4,48,6,1
202,Invincible Compendium Vol. 3 TP,2018-07-24,64.99,4,48,6,1
203,Invincible Iron Man #1,2016-11-09,3.99,2,2,1,1
204,Invincible Iron Man #2,2016-12-21,3.99,2,2,1,1
205,Invincible Iron Man #3,2017-01-18,3.99,2,2,1,1
206,Invincible Iron Man #4,2017-02-15,3.99,2,2,1,1
207,Invincible Iron Man #5,2017-03-22,3.99,2,2,1,1
208,Invincible Iron Man #6,2017-04-19,3.99,2,2,1,1
209,Jean Grey #1,2017-05-03,0,2,49,1,2
210,Justice League #1,2016-07-20,2.99,1,50,1,1
211,Justice League #2,2016-08-03,2.99,1,50,1,1
212,Justice League #3,2016-08-17,2.99,1,50,1,1
213,Justice League #4,2016-09-07,2.99,1,50,1,1
214,Justice League #5,2016-09-21,2.99,1,50,1,1
215,Justice League #6,2016-10-05,2.99,1,50,1,1
216,Justice League of America: Hereby Elects TP,2006-12-20,14.99,1,51,3,1
217,Justice League: Rebirth #1,2016-07-06,2.99,1,50,1,1
218,Absolute Kingdom Come (New Edition),2018-10-10,99.23,1,4,4,1
219,Marvel Comics #1000 2nd Printing,2019-10-02,9.99,2,32,1,1
220,Marvel's Spider-Man: City at War TP,2019-10-16,25.99,2,49,1,1
221,Marvel's Spider-Man: The Black Cat Strikes TP,2020-09-16,21.99,2,49,1,1
222,Marvel's Spider-Man: Velocity TP,2020-02-19,20.99,2,49,1,1
223,Nightwing #1 Variant Edition,2016-07-27,2.99,1,52,1,1
224,Nightwing #2 Variant Edition,2016-08-03,2.99,1,52,1,1
225,Nightwing #3,2016-08-17,2.99,1,52,1,1
226,Nightwing #4,2016-09-07,2.99,1,52,1,1
227,Nightwing #5,2016-09-21,2.99,1,52,1,1
228,Nightwing #6,2016-10-05,2.99,1,52,1,1
229,Nightwing #7,2016-10-19,2.99,1,52,1,1
230,Nightwing #8,2016-11-02,2.99,1,52,1,1
231,Nightwing #9,2016-11-16,2.99,1,52,1,1
232,Nightwing: Rebirth #1,2016-07-13,2.99,1,52,1,1
233,Planet-Size X-Men #1,2021-06-16,4.99,2,36,1,1
234,Powers of X #1,2019-07-31,0,2,11,1,2
235,Powers of X #2,2019-08-14,0,2,11,1,2
236,Powers of X #3,2019-08-21,0,2,11,1,2
237,Powers of X #3 Dustin Weaver New Character Variant,2019-08-21,4.99,2,11,1,1
238,Powers of X #2 2nd Printing,2019-08-28,4.99,2,11,1,1
239,Powers of X #1 3rd Printing,2019-09-04,5.99,2,11,1,1
240,Powers of X #4,2019-09-11,0,2,11,1,2
241,Powers of X #4 Weaver New Character Variant,2019-09-11,4.99,2,11,1,1
242,Powers of X #5,2019-09-25,0,2,11,1,2
243,Powers of X #5 Valerio Schiti Character Decades Variant,2019-09-25,0,2,11,1,1
244,Powers of X #6,2019-10-09,5.99,2,11,1,2
245,The Rise of Apocalypse #1,1996-10-01,0,2,53,1,1
